Team(i1),Team(i2),Team(i3),Team(i4),Team(i5),Team(j1),Team(j2),Team(j3),Team(j4),Team(j5),Performance
Chris Paul,James Harden,Trevor Ariza,P.J. Tucker,Clint Capela,Stephen Curry,Klay Thompson,Kevin Durant,Draymond Green,Kevon Looney,-12
Chris Paul,James Harden,Trevor Ariza,P.J. Tucker,Eric Gordon,Stephen Curry,Klay Thompson,Kevin Durant,Draymond Green,Jordan Bell,-7
Gerald Green,Ryan Anderson,Luc Mbah a Moute,Tarik Black,Joe Johnson,Nick Young,Zaza Pachulia,Jordan Bell,Quinn Cook,JaVale McGee,-7
James Harden,Trevor Ariza,P.J. Tucker,Eric Gordon,Joe Johnson,Stephen Curry,Klay Thompson,Andre Iguodala,Kevin Durant,Draymond Green,-7
Chris Paul,Trevor Ariza,P.J. Tucker,Eric Gordon,Luc Mbah a Moute,Andre Iguodala,Kevin Durant,Nick Young,Shaun Livingston,Kevon Looney,-5
Gerald Green,Ryan Anderson,Luc Mbah a Moute,Tarik Black,Joe Johnson,Nick Young,Shaun Livingston,Kevon Looney,Jordan Bell,Quinn Cook,-5
James Harden,Trevor Ariza,P.J. Tucker,Eric Gordon,Luc Mbah a Moute,Stephen Curry,Klay Thompson,Kevin Durant,Draymond Green,Kevon Looney,-5
Chris Paul,James Harden,Trevor Ariza,P.J. Tucker,Clint Capela,Stephen Curry,Klay Thompson,Andre Iguodala,Kevin Durant,Draymond Green,-4
Chris Paul,James Harden,Trevor Ariza,Clint Capela,Eric Gordon,Stephen Curry,Klay Thompson,Andre Iguodala,Kevin Durant,Draymond Green,-4
Chris Paul,James Harden,Trevor Ariza,P.J. Tucker,Clint Capela,Stephen Curry,Klay Thompson,Kevin Durant,Draymond Green,Kevon Looney,-4
Ryan Anderson,Luc Mbah a Moute,Tarik Black,Joe Johnson,Aaron Jackson,Nick Young,Shaun Livingston,Zaza Pachulia,Jordan Bell,Quinn Cook,-4
Chris Paul,James Harden,Trevor Ariza,P.J. Tucker,Clint Capela,Stephen Curry,Klay Thompson,Andre Iguodala,Kevin Durant,Draymond Green,-3
