Index,evt,Clock,Description,locX,locY,opt1,opt2,mtype,etype,opid,PlayerID,TeamID,LAC,DEN,epid,oftid,ord,Player In,Player Out,Who's In,Subbed In,Subbed Out,Avery Bradley,Boban Marjanovic,Danilo Gallinari,Lou Williams,Luc Mbah a Moute,Marcin Gortat,Mike Scott,Montrezl Harrell,Patrick Beverley,Shai Gilgeous-Alexander,Tobias Harris,Gary Harris,Jamal Murray,Juancho Hernangomez,Malik Beasley,Mason Plumlee,Monte Morris,Nikola Jokic,Paul Millsap,Thomas Welsh,Trey Lyles,Will Barton,Spread,Lineup Score
51,71,5:53,[DEN 12-10] Jokic Free Throw 1 of 2 (1 PTS),0,-80,1,0,11,3,,203999,1610612743,10,12,,1610612743,71000,None,None,,,,In,Out,In,Out,Out,In,Out,Out,In,Out,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,-2,-2
56,77,5:30,[LAC] Beverley Foul: Personal (2 PF) (2 FTA) (J Phillips),-58,92,1,0,1,6,203999,201976,1610612746,10,13,,1610612743,77000,None,None,,,,In,Out,In,Out,Out,Out,Out,In,In,Out,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,-3,-1
81,110,2:47,[DEN 20-17] Jokic Free Throw 1 of 2 (5 PTS),0,-80,1,0,11,3,,203999,1610612743,17,20,,1610612743,109000,None,None,,,,Out,Out,In,In,Out,Out,Out,In,Out,In,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,-3,0
90,125,1:53,[DEN 25-21] Lyles Free Throw 1 of 2 (1 PTS),0,-80,1,0,11,3,,1626168,1610612743,21,25,,1610612743,124000,None,None,,,,Out,Out,Out,In,In,Out,Out,In,Out,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,In,-4,-1
103,144,1:20,[LAC 24-27] Williams Free Throw 1 of 2 (4 PTS),0,-80,1,0,11,3,,101150,1610612746,24,27,,1610612746,143000,None,None,,,,Out,Out,Out,In,In,Out,In,In,Out,In,Out,In,Out,In,Out,In,In,Out,Out,Out,In,Out,-3,1
116,159,11:49,[LAC] Harrell Foul: Shooting (2 PF) (2 FTA) (S Twardoski),10,8,0,0,2,6,203486,1626149,1610612746,24,29,,1610612743,158125,None,None,,,,Out,Out,Out,In,In,Out,In,In,Out,In,Out,Out,Out,In,In,In,In,Out,Out,Out,In,Out,-5,-2
142,193,9:54,[LAC] Team Timeout : Regular,0,-80,0,0,1,9,,1610612746,1610612746,27,38,,1610612746,190000,None,None,,,,Out,In,Out,In,In,Out,In,Out,Out,In,Out,Out,Out,In,In,In,In,Out,Out,Out,In,Out,-11,-6
153,208,8:35,[LAC 30-40] Williams Free Throw 1 of 2 (5 PTS),0,-80,1,0,11,3,,101150,1610612746,30,40,,1610612746,205000,None,None,,,,Out,In,In,In,In,Out,Out,Out,Out,In,Out,Out,Out,In,In,In,In,Out,Out,Out,In,Out,-10,1
159,217,8:10,[LAC 32-42] Williams Free Throw Technical (7 PTS),0,-80,1,0,16,3,,101150,1610612746,32,42,,1610612746,214000,None,None,,,,In,In,In,In,Out,Out,Out,Out,Out,In,Out,Out,Out,In,In,Out,In,In,Out,Out,In,Out,-10,0
172,234,7:28,[LAC] Marjanovic Foul: Personal (1 PF) (D Richardson),-95,40,0,0,1,6,203999,1626246,1610612746,37,42,,1610612743,231000,None,None,,,,In,In,In,Out,Out,Out,Out,Out,In,Out,In,Out,Out,In,In,Out,In,In,Out,Out,In,Out,-5,5
181,248,6:30,[DEN] Team Timeout : Regular,0,-80,0,0,1,9,,1610612743,1610612743,41,44,,1610612743,245000,None,None,,,,In,In,In,Out,Out,Out,Out,Out,In,Out,In,Out,Out,In,Out,Out,In,In,Out,Out,In,In,-3,2
197,269,5:07,[DEN 45-43] Barton Free Throw 1 of 2 (9 PTS),0,-80,1,0,11,3,,203115,1610612743,43,45,,1610612743,266000,None,None,,,,In,In,In,Out,Out,Out,Out,Out,In,Out,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,-2,1
220,299,3:01,[DEN] Jokic Turnover : Traveling (2 TO),-14,92,0,0,4,5,,203999,1610612743,52,50,,1610612743,296000,None,None,,,,In,Out,In,Out,Out,In,Out,Out,Out,In,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,2,4
244,326,00:44.6,[LAC] Team Rebound,0,-80,1,0,1,4,,0,1610612746,54,58,,1610612746,322001,None,None,,,,In,Out,Out,Out,In,In,Out,Out,Out,In,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,-4,-6
255,341,00:01.2,[DEN 59-54] Millsap Free Throw 1 of 2 (3 PTS),0,-80,1,0,11,3,,200794,1610612743,54,59,,1610612743,338000,None,None,,,,In,Out,Out,In,In,In,Out,Out,Out,Out,In,In,In,Out,Out,Out,Out,Out,In,Out,In,In,-5,-1
260,348,00:00.0,End Period,0,-80,0,0,0,13,,0,0,54,59,,1610612746,345000,None,None,,,,In,Out,Out,In,In,In,Out,Out,Out,Out,In,Out,In,Out,In,Out,In,Out,In,Out,In,Out,-5,0
312,420,5:40,Stoppage: Out-of-Bounds,0,-80,0,0,3,20,,0,0,63,66,,1610612743,417000,None,None,,,,In,Out,In,Out,Out,In,Out,Out,In,Out,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,-3,2
319,432,5:04,[LAC] Gallinari Violation:Kicked Ball (D Richardson),0,-80,0,0,5,7,,201568,1610612746,63,68,,1610612743,429000,None,None,,,,In,Out,In,Out,Out,In,Out,Out,Out,In,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,-5,-2
324,438,4:41,Stoppage: Blood Rule,0,-80,0,0,1,20,,0,0,63,68,,1610612746,435000,None,None,,,,In,Out,In,Out,Out,Out,Out,In,Out,In,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,-5,0
332,450,4:19,Stoppage: Out-of-Bounds,0,-80,0,0,3,20,,0,0,63,68,,1610612743,447000,None,None,,,,In,Out,In,In,Out,Out,Out,In,Out,In,Out,In,In,Out,Out,Out,Out,Out,In,Out,In,In,-5,0
339,459,3:33,[DEN] Lyles Foul: Personal (1 PF) (J Phillips),-20,17,0,0,1,6,1626149,1626168,1610612743,63,68,,1610612746,456000,None,None,,,,In,Out,In,In,Out,Out,Out,In,Out,In,Out,In,In,Out,Out,Out,Out,In,Out,Out,In,In,-5,0
347,471,2:55,[DEN] Team Timeout : Regular,0,-80,0,0,1,9,,1610612743,1610612743,66,68,,1610612743,468000,None,None,,,,In,Out,In,In,Out,Out,Out,In,Out,In,Out,In,Out,Out,Out,Out,In,In,Out,Out,In,In,-2,3
352,478,2:45,[DEN] Plumlee Foul: Personal (4 PF) (J Phillips),-147,179,0,0,1,6,101150,203486,1610612743,66,70,,1610612746,475000,None,None,,,,In,Out,Out,In,Out,Out,Out,In,Out,In,In,In,Out,Out,Out,In,In,Out,Out,Out,In,In,-4,-2
361,491,1:49,[DEN] Plumlee Turnover : 3 Second Violation (1 TO),-27,83,0,0,8,5,,203486,1610612743,66,70,,1610612743,487000,None,None,,,,In,Out,Out,In,Out,Out,Out,In,Out,In,In,In,Out,In,Out,In,In,Out,Out,Out,In,Out,-4,0
378,514,00:00.9,Instant Replay - Support Ruling,0,-80,0,0,0,18,,0,0,72,74,,1610612746,510000,None,None,,,,Out,In,Out,In,Out,Out,Out,In,Out,In,In,Out,Out,In,In,In,In,Out,Out,Out,In,Out,-2,2
382,522,00:00.0,End Period,0,-80,0,0,0,13,,0,0,72,74,,1610612746,518000,None,None,,,,Out,In,Out,In,Out,Out,In,In,Out,Out,In,Out,Out,In,In,Out,In,Out,Out,In,In,Out,-2,0
412,567,9:02,[LAC] Williams Foul: Personal (1 PF) (D Richardson),-113,62,0,0,1,6,1626168,101150,1610612746,76,81,,1610612743,563000,None,None,,,,Out,In,Out,In,Out,Out,Out,In,Out,In,In,Out,Out,In,In,In,In,Out,Out,Out,In,Out,-5,-3
423,582,7:57,Stoppage: Out-of-Bounds,0,-80,0,0,3,20,,0,0,78,81,,1610612746,577000,None,None,,,,Out,In,In,In,Out,Out,Out,Out,Out,In,In,Out,Out,In,In,In,In,Out,Out,Out,In,Out,-3,2
429,591,7:28,[DEN] Hernangomez Foul: Shooting (1 PF) (1 FTA) (J Phillips),-12,5,0,0,2,6,1626246,1627823,1610612743,83,81,,1610612746,586000,None,None,,,,Out,In,In,In,Out,Out,Out,Out,Out,In,In,Out,Out,In,Out,In,In,Out,Out,Out,In,In,2,5
438,604,7:05,[DEN] Team Rebound,0,-80,1,0,1,4,,0,1610612743,84,81,,1610612743,598001,None,None,,,,Out,In,In,In,Out,Out,Out,Out,Out,In,In,Out,In,In,Out,Out,Out,In,Out,Out,In,In,3,1
444,613,6:55,[LAC 87-82] Marjanovic Free Throw 1 of 1 (18 PTS),0,-80,1,0,10,3,,1626246,1610612746,87,82,,1610612746,608000,None,None,,,,Out,In,In,In,Out,Out,Out,Out,Out,In,In,In,In,Out,Out,Out,Out,In,Out,Out,In,In,5,2
471,646,3:44,[LAC] Williams Foul: Personal (2 PF) (S Twardoski),-96,141,0,0,1,6,203999,101150,1610612746,92,88,,1610612743,641000,None,None,,,,Out,In,In,In,Out,Out,Out,Out,Out,In,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,4,-1
474,651,3:38,[DEN] Team Timeout : Regular,0,-80,0,0,1,9,,1610612743,1610612743,92,88,,1610612743,645000,None,None,,,,In,In,In,Out,Out,Out,Out,Out,Out,In,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,4,0
486,670,2:40,[LAC] Gallinari Turnover : Offensive Foul Turnover (1 TO),-66,176,0,0,37,5,,201568,1610612746,94,93,,1610612746,663000,None,None,,,,In,In,In,Out,Out,Out,Out,Out,In,Out,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,1,-3
502,690,1:24,[LAC] Team Timeout : Regular,0,-80,0,0,1,9,,1610612746,1610612746,95,97,,1610612746,683000,None,None,,,,In,Out,In,Out,Out,Out,Out,In,In,Out,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,-2,-3
510,702,00:37.5,[DEN 100-95] Harris Free Throw 1 of 2 (19 PTS),0,-80,1,0,11,3,,203914,1610612743,95,100,,1610612743,693000,None,None,,,,Out,Out,In,In,Out,Out,Out,In,In,Out,In,In,In,Out,Out,Out,Out,In,In,Out,Out,In,-5,-3
516,711,00:27.8,[DEN 102-95] Millsap Free Throw 1 of 2 (6 PTS),0,-80,1,0,11,3,,200794,1610612743,95,102,,1610612743,702000,None,None,,,,Out,Out,In,In,Out,Out,Out,In,In,Out,In,In,In,Out,Out,In,Out,Out,In,Out,Out,In,-7,-2
520,717,00:20.6,[LAC] Gallinari Foul: Personal Take (6 PF) (2 FTA) (S Twardoski),-180,806,1,0,28,6,200794,201568,1610612746,98,103,,1610612743,708000,None,None,,,,Out,Out,In,In,Out,Out,Out,Out,In,In,In,In,In,Out,Out,In,Out,Out,In,Out,Out,In,-5,2
